;;;;;;;;;;;;;;;;;;
Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0002913-87.2024.8.25.0083;Aracaju;SE;Apartamento;Avenida Euclides Figueiredo, Bairro Porto Dantas, N° 4155, Aracaju/SE;R$ 800.000,00;50%;10/04/2026;24/04/2026;R$ 400.000,00;R$ 12.000,00;R$ 20.000,00;R$ 20.000,00;R$ 20.000,00;R$ 472.000,00;R$ 328.000,00;69,49%;40;VERMELHO
5002051-67.2022.8.13.0525;Pouso Alegre;MG;Veículo;R. Edson Faria Da Silva, 30, Nossa Senhora Do Pilar ¿ Pouso Alegre/MG. CEP: 37553182.;R$ 774.400,00;50%;16/03/2026;30/04/2026;R$ 387.200,00;R$ 11.616,00;R$ 19.360,00;R$ 19.360,00;R$ 19.360,00;R$ 456.896,00;R$ 317.504,00;69,49%;10;VERMELHO
5038389-64.2017.8.13.0024;Belo Horizonte;MG;Equipamento;Rua Bimbarra, nº. 160, bairro Calafate;R$ 768.000,00;50%;17/03/2026;30/04/2026;R$ 384.000,00;R$ 11.520,00;R$ 19.200,00;R$ 19.200,00;R$ 19.200,00;R$ 453.120,00;R$ 314.880,00;69,49%;50;VERMELHO
1001040-81.2018.5.02.0068;São Paulo;SP;Veículo;Av. General Charles de Gaulle, nº 208, bloco 01, apto 111, Parque São Domingos, São Paulo/SP;R$ 620.000,00;30%;25/06/2026;25/06/2026;R$ 186.000,00;R$ 5.580,00;R$ 9.300,00;R$ 9.300,00;R$ 9.300,00;R$ 219.480,00;R$ 400.520,00;182,49%;95;VERDE
0000202-91.2015.5.12.0001;São José;SC;Apartamento e Vaga de Garagem;Rua nº 04, esquina com a Manoel Loureiro, nº 60, Loteamento Santo Antônio, Distrito de Barreiros, São José/SC (Edifício Residencial Isla Negra, Apartamento 102 e Vaga de Garagem nº 20);R$ 603.967,14;53%;16/03/2026;27/03/2026;R$ 320.102,58;R$ 9.603,08;R$ 16.005,13;R$ 16.005,13;R$ 16.005,13;R$ 377.721,05;R$ 226.246,09;59,90%;60;AMARELO
0100020-82.2017.5.01.0411;Niterói;RJ;Apartamento;RUA CAROLINA ALVES Nº 32, APTO. 102, BLOCO 01, COND. FERNEY-VOLTAIRE, BADU, NITERÓI/RJ;R$ 450.000,00;50%;18/05/2026;26/05/2026;R$ 225.000,00;R$ 6.750,00;R$ 11.250,00;R$ 11.250,00;R$ 11.250,00;R$ 265.500,00;R$ 184.500,00;69,49%;40;VERMELHO
0100020-82.2017.5.01.0411;Niterói;RJ;Apartamento;RUA CAROLINA ALVES Nº 32, APTO. 102, BLOCO 01, COND. FERNEY-VOLTAIRE, BADU, NITERÓI/RJ;R$ 450.000,00;50%;18/05/2026;26/05/2026;R$ 225.000,00;R$ 6.750,00;R$ 11.250,00;R$ 11.250,00;R$ 11.250,00;R$ 265.500,00;R$ 184.500,00;69,49%;55;VERMELHO
0100020-82.2017.5.01.0411;Niterói;RJ;Apartamento;RUA CAROLINA ALVES Nº 32, APTO. 102, BLOCO 01, COND. FERNEY-VOLTAIRE, BADU, NITERÓI/RJ;R$ 450.000,00;50%;18/05/2026;26/05/2026;R$ 225.000,00;R$ 6.750,00;R$ 11.250,00;R$ 11.250,00;R$ 11.250,00;R$ 265.500,00;R$ 184.500,00;69,49%;80;VERDE
5000786-04.2019.8.13.0309;Inhapim;MG;Terreno;Córrego do Suíço, Inhapim/MG;R$ 416.098,96;50%;02/04/2026;23/04/2026;R$ 208.049,48;R$ 6.241,48;R$ 10.402,47;R$ 10.402,47;R$ 10.402,47;R$ 245.498,39;R$ 170.600,57;69,49%;40;VERMELHO
0101281-81.2016.5.01.0067;Rio de Janeiro;RJ;Apartamentos;Av. Atlântica n° 3484, Copacabana, Rio de Janeiro/RJ;R$ 410.000,00;50%;27/04/2026;28/04/2026;R$ 205.000,00;R$ 6.150,00;R$ 10.250,00;R$ 10.250,00;R$ 10.250,00;R$ 241.900,00;R$ 168.100,00;69,49%;80;VERDE
0511909-18.1996.8.26.0100;São Paulo;SP;Casa;Rua Dr. Manuel Carlos de Figueiredo Ferraz, n.º 120, Morumbi;R$ 400.808,35;50%;30/04/2026;28/05/2026;R$ 200.404,18;R$ 6.012,13;R$ 10.020,21;R$ 10.020,21;R$ 10.020,21;R$ 236.476,93;R$ 164.331,42;69,49%;80;VERDE
0325318-67.2000.8.06.0001;Fortaleza;CE;Imóvel Urbano;Rua Professor Costa Mendes, nº 2050-B, Bairro Rodolfo Teófilo, Fortaleza/CE;R$ 400.000,00;100%;10/04/2026;10/04/2026;R$ 400.000,00;R$ 12.000,00;R$ 20.000,00;R$ 20.000,00;R$ 20.000,00;R$ 472.000,00;-R$ 72.000,00;-15,25%;55;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Terreno;Rua 6 (acesso pela Rua 5), Lote 32, Quadra 15, Loteamento Parque Chaperó, 1º Distrito, Itaguaí/RJ;R$ 400.000,00;50%;18/05/2026;21/05/2026;R$ 200.000,00;R$ 6.000,00;R$ 10.000,00;R$ 10.000,00;R$ 10.000,00;R$ 236.000,00;R$ 164.000,00;69,49%;35;VERMELHO
0734534-28.1997.8.26.0100;Amparo;SP;Terreno;Lote 15, Quadra 59, Rua 54, Loteamento Parque Turístico Serra Negra, Gleba I, Amparo;R$ 400.000,00;50%;08/05/2026;10/06/2026;R$ 200.000,00;R$ 6.000,00;R$ 10.000,00;R$ 10.000,00;R$ 10.000,00;R$ 236.000,00;R$ 164.000,00;69,49%;35;VERMELHO
0000525-56.2023.5.06.0010;Olinda;PE;Apartamento;Rua Nereu Gomes Maciel, 177, apto 502, Casa Caiada, Olinda;R$ 360.000,00;60%;17/03/2026;27/07/2026;R$ 216.000,00;R$ 6.480,00;R$ 10.800,00;R$ 10.800,00;R$ 10.800,00;R$ 254.880,00;R$ 105.120,00;41,24%;65;AMARELO
0000525-56.2023.5.06.0010;OLINDA;PE;Apartamento;Rua Nereu Gomes Maciel, 177, apto 502, Casa Caiada, Olinda;R$ 360.000,00;60%;16/03/2026;27/07/2026;R$ 216.000,00;R$ 6.480,00;R$ 10.800,00;R$ 10.800,00;R$ 10.800,00;R$ 254.880,00;R$ 105.120,00;41,24%;50;VERMELHO
0000525-56.2023.5.06.0010;OLINDA;PE;Apartamento;Rua Nereu Gomes Maciel, 177, apto 502, Casa Caiada;R$ 360.000,00;60%;17/03/2026;27/07/2026;R$ 216.000,00;R$ 6.480,00;R$ 10.800,00;R$ 10.800,00;R$ 10.800,00;R$ 254.880,00;R$ 105.120,00;41,24%;45;VERMELHO
0101034-43.2023.5.01.0039;Rio de Janeiro;RJ;Prédio;Rua Costa Ferreira, 7, Centro, Rio de Janeiro/RJ;R$ 350.000,00;60%;08/06/2026;16/06/2026;R$ 210.000,00;R$ 6.300,00;R$ 10.500,00;R$ 10.500,00;R$ 10.500,00;R$ 247.800,00;R$ 102.200,00;41,24%;35;VERMELHO
1000387-80.2023.5.02.0302;São Vicente;SP;Veículo;Rua Alves do Bugre, nº 467, loja 02, Parque São Vicente;R$ 325.000,00;50%;25/06/2026;25/06/2026;R$ 162.500,00;R$ 4.875,00;R$ 8.125,00;R$ 8.125,00;R$ 8.125,00;R$ 191.750,00;R$ 133.250,00;69,49%;55;VERMELHO
0065875-38.2013.8.13.0481;Coromandel;MG;Imóvel rural;Fazenda Santa Rosa de Baixo, município de Coromandel/MG;R$ 320.000,00;70%;23/03/2026;24/08/2026;R$ 224.000,00;R$ 6.720,00;R$ 11.200,00;R$ 11.200,00;R$ 11.200,00;R$ 264.320,00;R$ 55.680,00;21,07%;60;AMARELO
0012092-61.2017.8.16.0044;Apucarana;PR;Terreno;R. Prof. João Cândido Ferreira 2053, Vila Hayashi, Apucarana - PR;R$ 320.000,00;60%;25/03/2026;25/03/2026;R$ 192.000,00;R$ 5.760,00;R$ 9.600,00;R$ 9.600,00;R$ 9.600,00;R$ 226.560,00;R$ 93.440,00;41,24%;60;AMARELO
