;;;;;;;;;;;;;;;;;;
Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
5000774-61.2023.8.13.0240;Ervália;MG;Motocicleta;AV. DOM SILVÉRIO, Nº 6, CENTRO, ERVÁLIA - MG - CEP: 36555-000;R$ 115.120,00;50%;27/04/2026;27/04/2026;R$ 57.560,00;R$ 1.726,80;R$ 2.878,00;R$ 2.878,00;R$ 2.878,00;R$ 67.920,80;R$ 47.199,20;69,49%;30;VERMELHO
0001058-67.2024.5.06.0143;JABOATAO DOS GUARARAPES;PE;Veículo;RUA OITENTA, 100, Bairro Curado, Garagem da Progresso;R$ 72.000,00;50%;17/03/2026;29/06/2026;R$ 36.000,00;R$ 1.080,00;R$ 1.800,00;R$ 1.800,00;R$ 1.800,00;R$ 42.480,00;R$ 29.520,00;69,49%;50;VERMELHO
0001058-67.2024.5.06.0143;JABOATAO DOS GUARARAPES;PE;Veículo;RUA OITENTA, 100, CURADO, JABOATAO DOS GUARARAPES - PE, CEP: 54270-165 (GARAGEM DA PROGRESSO);R$ 72.000,00;50%;17/03/2026;29/06/2026;R$ 36.000,00;R$ 1.080,00;R$ 1.800,00;R$ 1.800,00;R$ 1.800,00;R$ 42.480,00;R$ 29.520,00;69,49%;45;VERMELHO
0001058-67.2024.5.06.0143;JABOATAO DOS GUARARAPES;PE;Veículo;RUA OITENTA, 100, CURADO, GARAGEM DA PROGRESSO;R$ 72.000,00;50%;16/03/2026;29/06/2026;R$ 36.000,00;R$ 1.080,00;R$ 1.800,00;R$ 1.800,00;R$ 1.800,00;R$ 42.480,00;R$ 29.520,00;69,49%;60;AMARELO
0001058-67.2024.5.06.0143;JABOATAO DOS GUARARAPES;PE;Veículo (ÔNIBUS);RUA OITENTA, 100, CURADO, GARAGEM DA PROGRESSO;R$ 72.000,00;50%;17/03/2026;29/06/2026;R$ 36.000,00;R$ 1.080,00;R$ 1.800,00;R$ 1.800,00;R$ 1.800,00;R$ 42.480,00;R$ 29.520,00;69,49%;30;VERMELHO
0705442-79.2024.8.07.0005;Brasília;DF;Motocicleta;MÓDULO 1, LOTE 16-B, CONDOMÍNIO MESTRE D'ARMAS, PLANALTINA, BRASÍLIA- DF, CEP 73403-303;R$ 70.000,00;60%;07/04/2026;10/04/2026;R$ 42.000,00;R$ 1.260,00;R$ 2.100,00;R$ 2.100,00;R$ 2.100,00;R$ 49.560,00;R$ 20.440,00;41,24%;55;VERMELHO
0701385-88.2024.8.07.0014;Guará;DF;Chácara;Colônia Agrícola Águas Claras, Chácara 28, lote 06, Guará II, CEP 71090-345;R$ 68.000,00;50%;28/04/2026;30/04/2026;R$ 34.000,00;R$ 1.020,00;R$ 1.700,00;R$ 1.700,00;R$ 1.700,00;R$ 40.120,00;R$ 27.880,00;69,49%;50;VERMELHO
5006771-34.2022.8.13.0216;Diamantina;MG;Motocicleta;Rua Mil Oitavas, 165, Bela Vista;R$ 64.000,00;50%;06/05/2026;06/05/2026;R$ 32.000,00;R$ 960,00;R$ 1.600,00;R$ 1.600,00;R$ 1.600,00;R$ 37.760,00;R$ 26.240,00;69,49%;30;VERMELHO
5084087-93.2017.8.13.0024;Belo Horizonte;MG;Casa;Rua Carlos Peixoto, 515 (antigo 1.515), Santa Efigênia, Belo Horizonte/MG;R$ 60.000,00;50%;16/03/2026;29/04/2026;R$ 30.000,00;R$ 900,00;R$ 1.500,00;R$ 1.500,00;R$ 1.500,00;R$ 35.400,00;R$ 24.600,00;69,49%;70;AMARELO
0008174-64.2025.8.16.0013;Campina Grande do Sul;PR;Veículo;Rod. Régis Bittencourt - BR 116, nº 2.016, Jd. Paulista, Campina Grande do Sul/PR;R$ 60.000,00;80%;06/04/2026;16/04/2026;R$ 48.000,00;R$ 1.440,00;R$ 2.400,00;R$ 2.400,00;R$ 2.400,00;R$ 56.640,00;R$ 3.360,00;5,93%;60;AMARELO
0100929-71.2023.5.01.0005;Rio de Janeiro;RJ;Bens Móveis;Estrada da Caroba, nº 685, Campo Grande;R$ 46.111,00;40%;27/04/2026;28/04/2026;R$ 18.444,40;R$ 553,33;R$ 922,22;R$ 922,22;R$ 922,22;R$ 21.764,39;R$ 24.346,61;111,86%;85;VERDE
0100929-71.2023.5.01.0005;Rio de Janeiro;RJ;Bens Móveis e Equipamentos;Nas dependências da FUNDACAO EDUCACIONAL UNIFICADA CAMPOGRANDENSE;R$ 46.111,00;50%;27/04/2026;28/04/2026;R$ 23.055,50;R$ 691,67;R$ 1.152,78;R$ 1.152,78;R$ 1.152,78;R$ 27.205,49;R$ 18.905,51;69,49%;70;AMARELO
0000052-75.2025.5.12.0061;Guabiruba;SC;Bens Móveis;Rua José Schirmer, nº 76, Lageado Baixo, Guabiruba/SC, CEP: 88360-000;R$ 37.500,00;50%;21/05/2026;28/05/2026;R$ 18.750,00;R$ 562,50;R$ 937,50;R$ 937,50;R$ 937,50;R$ 22.125,00;R$ 15.375,00;69,49%;85;VERDE
0000380-77.2023.5.06.0146;JABOATAO DOS GUARARAPES;PE;Condicionador de Ar;Rodovia Empresário João Santos Filho, 149 - Muribeca, Jaboatão dos Guararapes - PE, 54355-010;R$ 26.000,00;50%;17/03/2026;27/07/2026;R$ 13.000,00;R$ 390,00;R$ 650,00;R$ 650,00;R$ 650,00;R$ 15.340,00;R$ 10.660,00;69,49%;85;VERDE
0000380-77.2023.5.06.0146;JABOATAO DOS GUARARAPES;PE;Condicionador de Ar;Rodovia Empresário João Santos Filho, 149- MURIBECA, JABOATAO DOS GUARARAPES-PE, 54.355-010;R$ 26.000,00;50%;27/07/2026;27/07/2027;R$ 13.000,00;R$ 390,00;R$ 650,00;R$ 650,00;R$ 650,00;R$ 15.340,00;R$ 10.660,00;69,49%;85;VERDE
0000380-77.2023.5.06.0146;JABOATAO DOS GUARARAPES;PE;Bem Móvel;Rodovia Empresário João Santos Filho, 149- MURIBECA, JABOATAO DOS GUARARAPES-PE, 54.355-010;R$ 26.000,00;50%;17/03/2026;27/07/2026;R$ 13.000,00;R$ 390,00;R$ 650,00;R$ 650,00;R$ 650,00;R$ 15.340,00;R$ 10.660,00;69,49%;70;AMARELO
0003497-55.2022.8.13.0570;SALINAS;MG;Motocicleta;Pátio do DETRAN, Parque Industrial, Salinas/MG;R$ 10.000,00;50%;13/04/2026;13/04/2026;R$ 5.000,00;R$ 150,00;R$ 250,00;R$ 250,00;R$ 250,00;R$ 5.900,00;R$ 4.100,00;69,49%;15;VERMELHO
1043412-91.2019.8.11.0041;Cuiabá;MT;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;5;VERMELHO
0001672-83.2015.5.07.0006;Pacajus;CE;Terreno;Lotes 01, 02, 03 da Quadra B;R$ 0,00;50%;23/03/2026;30/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;70;AMARELO
0000327-52.2019.5.07.0003;Fortaleza;CE;Imóvel;Não informado;R$ 0,00;50%;23/03/2026;30/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;45;VERMELHO
0001527-50.2008.8.20.0106;Mossoró;RN;Veículo;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;40;VERMELHO
0010490-90.2024.5.03.0015;Belo Horizonte;MG;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0011249-74.2022.5.03.0031;Contagem;MG;Veículo;Placa QLS-2J59;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;10;VERMELHO
0000171-10.2017.5.05.0191;Feira de Santana;BA;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
1029168-47.2017.8.26.0224;Feira de Santana;BA;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0021800-93.2007.5.06.0019;N/A;PE;N/A;N/A;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0000756-54.2018.5.06.0141;RECIFE;PE;N/A;N/A;R$ 0,00;50%;N/A;N/A;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0000388-54.2025.8.16.0017;Maringá;PR;Motocicleta;Pátio da Polícia Civil da Delegacia de Maringá;R$ 0,00;80%;04/02/2026;04/02/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;90;VERDE
0100507-38.2016.5.01.0039;Itaguaí;RJ;Terreno;Lote de terreno n° 32 da quadra 15, desmembrado do Loteamento denominado “Parque Chaperó, Itaguaí, RJ;R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;40;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Terreno;"Lote de terreno n° 32 da quadra 15, desmembrado do Loteamento denominado ""Parque Chaperó""";R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;50;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Lote de terreno;Lote de terreno n° 32 da quadra 15, desmembrado do Loteamento denominado “Parque Chaperó, Itaguaí, RJ;R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Terreno;Lote de terreno nº 32 da quadra 15, desmembrado do Loteamento Parque Chaperó, Itaguaí, RJ;R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;55;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Lote de terreno;"Lote de terreno n° 32 da quadra 15, desmembrado do Loteamento denominado ""Parque Chaperó"", Itaguaí, RJ";R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;35;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Terreno;Lote de terreno n° 32 da quadra 15, desmembrado do Loteamento denominado “Parque Chaperó, Itaguaí, RJ;R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;30;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Lote de terreno;Lote de terreno n° 32 da quadra 15, desmembrado do Loteamento denominado “Parque Chaperó, Itaguaí, RJ;R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;35;VERMELHO
0100507-38.2016.5.01.0039;Itaguaí;RJ;Lote de terreno;Lote de terreno n° 32 da quadra 15, Parque Chaperó;R$ 0,00;50%;18/05/2026;21/05/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
1001052-72.2024.5.02.0331;Itapecerica da Serra;SP;Não informado;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;5;VERMELHO
1001052-72.2024.5.02.0331;Itapecerica da Serra;SP;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0101708-14.2016.5.01.0056;Rio de Janeiro;RJ;Não especificado;Não especificado;R$ 0,00;50%;14/04/2026;28/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;10;VERMELHO
0101708-14.2016.5.01.0056;Rio de Janeiro;RJ;Não especificado;Não especificado;R$ 0,00;50%;14/04/2026;28/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0101708-14.2016.5.01.0056;Rio de Janeiro;RJ;Não informado;Não informado;R$ 0,00;50%;14/04/2026;28/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;15;VERMELHO
