Processo;Cidade;Estado;Tipo;Metragem;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0101258-35.2013.5.17.0152;Guarapari;ES;Terreno;1.751,20 m²;quadra 87 (oitenta e sete) do loteamento Nova Praia do Morro, Município de Guarapari, ES;R$ 7.004.800,00;50%;02/06/2026;24/06/2026;R$ 3.502.400,00;R$ 105.072,00;R$ 175.120,00;R$ 175.120,00;R$ 175.120,00;R$ 4.132.832,00;287196800,00%;90;VERDE;
0310800-48.2003.5.02.0383;São Paulo;SP;Prédio;710,00 m²;Rua Jaime Costa nº 360, Jardim Morumby, 30º Subdistrito Ibirapuera;R$ 6.600.000,00;50%;16/07/2026;16/07/2026;R$ 3.300.000,00;R$ 99.000,00;R$ 165.000,00;R$ 165.000,00;R$ 165.000,00;R$ 3.894.000,00;270600000,00%;35;VERMELHO;
0000718-47.2017.5.12.0032;Biguaçu;SC;Terreno com galpões;1.540,20 m²;Rua Cônego Machado, nº 771, Bairro Universitário, Biguaçu/SC, CEP 88160.000;R$ 6.300.000,00;53%;18/06/2026;25/06/2026;R$ 3.339.000,00;R$ 100.170,00;R$ 166.950,00;R$ 166.950,00;R$ 166.950,00;R$ 3.940.020,00;235998000,00%;95;VERDE;
5022940-93.2022.8.13.0702;Uberlândia;MG;Imóvel Comercial;1.233,60 m²;Avenida Cipriano Del¿Fávero n.º 991 e 995 e Rua Padre Feijó n.º 28;R$ 6.082.500,00;70%;15/04/2026;29/04/2026;R$ 4.257.750,00;R$ 127.732,50;R$ 212.887,50;R$ 212.887,50;R$ 212.887,50;R$ 5.024.145,00;105835500,00%;55;VERMELHO;
1112002-62.2015.8.26.0100;São Paulo;SP;Imóvel Comercial com Terreno;1.105,00 m²;Rua Odorico Mendes, nº 55, esquina com a rua Coronel Cintra, no 16º Subdistrito - Mooca, São Paulo-SP, Cep 03106-030;R$ 6.077.500,00;70%;08/05/2026;25/06/2026;R$ 4.254.250,00;R$ 127.627,50;R$ 212.712,50;R$ 212.712,50;R$ 212.712,50;R$ 5.020.015,00;105748500,00%;90;VERDE;
0157286-16.2012.8.13.0056;BARBACENA;MG;Propriedade Rural com Benfeitorias;41.788,00 m²;Sítio Pinheiro Grosso, às margens da Rodovia MG 265, no Distrito de Pinheiro Grosso, Município de Barbacena/MG;R$ 5.879.172,75;60%;16/04/2026;28/05/2026;R$ 3.527.503,65;R$ 105.825,11;R$ 176.375,18;R$ 176.375,18;R$ 176.375,18;R$ 4.162.454,31;171671844,30%;65;AMARELO;
1037608-62.2025.8.26.0576;Regente Feijó;SP;Gleba em área de expansão urbana com edificações comerciais;2.415,00 m²;Rodovia SPA 553/270 Rodovia Henrique Moreno Milan, Fazenda Laranja Doce, nas proximidades do Distrito Industrial, Regente Feijó, SP;R$ 5.741.216,10;50%;15/06/2026;30/06/2026;R$ 2.870.608,05;R$ 86.118,24;R$ 143.530,40;R$ 143.530,40;R$ 143.530,40;R$ 3.387.317,50;235389860,10%;90;VERDE;
0000377-98.2016.5.12.0050;Joinville;SC;Terreno;46.043,00 m²;Nos fundos da Estrada Suíça, próximo à Rua Hanna Salin Amin, Vila Nova, Joinville/SC;R$ 5.713.000,00;50%;25/05/2026;01/06/2026;R$ 2.856.500,00;R$ 85.695,00;R$ 142.825,00;R$ 142.825,00;R$ 142.825,00;R$ 3.370.670,00;234233000,00%;60;AMARELO;
1096422-79.2021.8.26.0100;Cabo Frio;RJ;Terrenos;53.893,00 m²;Rua das Pacas - Sítio do Gravatá 1 e 2, Loteamento Cidade Nova Califórnia, 2º Distrito, Tamoios, Cabo Frio/RJ;R$ 5.377.300,12;20%;18/05/2026;08/06/2026;R$ 1.075.460,02;R$ 32.263,80;R$ 53.773,00;R$ 53.773,00;R$ 53.773,00;R$ 1.269.042,83;410825729,17%;55;VERMELHO;
0000531-07.2024.5.23.0026;Torixoréu;MT;Imóvel Rural;501,90 m²;Imóvel rural denominado Fazenda Santa Paula, localizada na comarca de Torixoréu-MT. Acesso pela rodovia MT 100 (sentido Pontal do Araguaia/MT), entrada à esquerda no KM 342, seguindo por 12,3 km em estrada não pavimentada.;R$ 5.128.000,00;50%;11/05/2026;12/05/2026;R$ 2.564.000,00;R$ 76.920,00;R$ 128.200,00;R$ 128.200,00;R$ 128.200,00;R$ 3.025.520,00;210248000,00%;50;VERMELHO;
1004680-19.2020.8.11.0037;Primavera do Leste;MT;Lote de terreno;10.000,00 m²;Rua Siriema, nº 196, Bairro Tuiuiú, Primavera do Leste/MT;R$ 5.059.209,00;50%;15/05/2026;22/05/2026;R$ 2.529.604,50;R$ 75.888,14;R$ 126.480,23;R$ 126.480,23;R$ 126.480,23;R$ 2.984.933,31;207427569,00%;30;VERMELHO;
0712688-67.2022.8.07.0015;Brasília;DF;Casa;0,00 m²;SHIN QL 07, Conjunto 01, Lote 02, Lago Norte, Brasília/DF;R$ 4.491.913,15;50%;05/05/2026;08/05/2026;R$ 2.245.956,58;R$ 67.378,70;R$ 112.297,83;R$ 112.297,83;R$ 112.297,83;R$ 2.650.228,76;184168439,15%;5;VERMELHO;
