Processo;Cidade;Estado;Tipo;Metragem;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0002800-94.2009.8.16.0153;Santo Antônio da Platina;PR;Casa;211,20 m²;lote nº 204, do loteamento denominado Parque Alvorada, desta cidade;R$ 650.000,00;60%;21/05/2026;26/05/2026;R$ 390.000,00;R$ 11.700,00;R$ 19.500,00;R$ 19.500,00;R$ 19.500,00;R$ 460.200,00;18980000,00%;65;AMARELO;
0009164-78.2018.8.26.0609;Guaíba;RS;Imóvel rural com edificações;277.890,00 m²;GRANJA HÉLIO RIBEIRO, Município de Guaíba;R$ 621.484,57;60%;18/05/2026;10/06/2026;R$ 372.890,74;R$ 11.186,72;R$ 18.644,54;R$ 18.644,54;R$ 18.644,54;R$ 440.011,08;18147349,44%;55;VERMELHO;
5003354-97.2022.8.13.0596;Santa Rita do Sapucaí;MG;Casa;0,00 m²;Rua Comendador Custódio Ribeiro, número 196, Centro, Santa Rita do Sapucaí/MG, CEP 37.540-000;R$ 612.000,00;50%;17/04/2026;28/05/2026;R$ 306.000,00;R$ 9.180,00;R$ 15.300,00;R$ 15.300,00;R$ 15.300,00;R$ 361.080,00;25092000,00%;55;VERMELHO;
0001848-26.2009.8.26.0319;Lençóis Paulista;SP;Casa;217,62 m²;Rua Sete de Setembro n° 1646, Jardim Morumbi, Lençóis Paulista, São Paulo;R$ 601.008,10;70%;04/05/2026;29/05/2026;R$ 420.705,67;R$ 12.621,17;R$ 21.035,28;R$ 21.035,28;R$ 21.035,28;R$ 496.432,69;10457540,94%;45;VERMELHO;
0100559-18.2023.5.01.0062;Rio de Janeiro;RJ;Prédio;350,00 m²;RUA ARVOREDO, nº 106;R$ 600.000,00;100%;16/06/2026;23/06/2026;R$ 600.000,00;R$ 18.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 708.000,00;-10800000,00%;0;VERMELHO;
0100559-18.2023.5.01.0062;Rio de Janeiro;RJ;Prédio;350,00 m²;RUA ARVOREDO, nº 106;R$ 600.000,00;100%;16/06/2026;23/06/2026;R$ 600.000,00;R$ 18.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 708.000,00;-10800000,00%;40;VERMELHO;
0101436-12.2022.5.01.0411;Iguaba Grande;RJ;Casa com Terreno;6.359,00 m²;"RUA SANTO ANTÔNIO, 1500 (""ÁREA E -SÍTIO PARAÍSO), VILA NOVA, IGUABA GRANDE/RJ";R$ 600.000,00;50%;08/06/2026;16/06/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;24600000,00%;70;AMARELO;
0010337-92.2014.5.05.0131;Camaçari;BA;Lote com construções;1.600,00 m²;Rua do Cobre, sem número, quadra 7, lote 03, Polo de Apoio, Camaçari, Bahia;R$ 600.000,00;50%;07/07/2026;20/10/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;24600000,00%;30;VERMELHO;
0098600-17.2000.5.02.0312;Guarulhos;SP;Casa;0,00 m²;Av. Guilherme Schmidt, 42, Vila Antonieta;R$ 600.000,00;60%;16/07/2026;16/07/2026;R$ 360.000,00;R$ 10.800,00;R$ 18.000,00;R$ 18.000,00;R$ 18.000,00;R$ 424.800,00;17520000,00%;30;VERMELHO;
0000640-95.2023.5.06.0004;OLINDA;PE;Apartamento;117,16 m²;Avenida Ministro Marcos Freire, nº 2505 – apt. 1401 - Casa Caiada – Olinda – PE;R$ 600.000,00;60%;15/04/2026;14/09/2026;R$ 360.000,00;R$ 10.800,00;R$ 18.000,00;R$ 18.000,00;R$ 18.000,00;R$ 424.800,00;17520000,00%;55;VERMELHO;
0000640-95.2023.5.06.0004;OLINDA;PE;Apartamento;117,16 m²;Avenida Ministro Marcos Freire, nº 2505, apt. 1401, Casa Caiada;R$ 600.000,00;60%;15/04/2026;14/09/2026;R$ 360.000,00;R$ 10.800,00;R$ 18.000,00;R$ 18.000,00;R$ 18.000,00;R$ 424.800,00;17520000,00%;75;AMARELO;
0000640-95.2023.5.06.0004;OLINDA;PE;Apartamento;117,16 m²;Avenida Ministro Marcos Freire, nº 2505, apt. 1401, Casa Caiada, Olinda, PE, CEP: 53130-540;R$ 600.000,00;60%;14/04/2026;14/09/2026;R$ 360.000,00;R$ 10.800,00;R$ 18.000,00;R$ 18.000,00;R$ 18.000,00;R$ 424.800,00;17520000,00%;50;VERMELHO;
0000876-40.2023.8.25.0013;Carira;SE;Sítio;1.496,30 m²;Povoado Ponto Chique, Zona Urbana, Carira/SE;R$ 600.000,00;50%;05/05/2026;19/05/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;24600000,00%;80;VERDE;
5000707-47.2024.8.13.0342;Santa Vitória;MG;Casa e Terreno;258,21 m²;Casa nº 860, Lote 38, Quadra 01, Residencial Juarez Lorena, Estrada Municipal 178, Santa Vitória/MG;R$ 600.000,00;50%;15/06/2026;15/06/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;24600000,00%;30;VERMELHO;
0000283-03.2024.5.08.0109;Itaituba;PA;Vila Residencial;360,00 m²;Avenida Eça de Queiroz Lages de Mesquita, N. 871, Bairro Jardim das Araras, Itaituba-PA;R$ 580.000,00;60%;15/05/2026;15/05/2026;R$ 348.000,00;R$ 10.440,00;R$ 17.400,00;R$ 17.400,00;R$ 17.400,00;R$ 410.640,00;16936000,00%;90;VERDE;
2901559-17.2006.8.13.0702;Uberlândia;MG;Casa;103,15 m²;Avenida Marciano de Avila, nº 409;R$ 568.634,40;70%;07/10/2026;21/10/2026;R$ 398.044,08;R$ 11.941,32;R$ 19.902,20;R$ 19.902,20;R$ 19.902,20;R$ 469.692,01;9894238,56%;65;AMARELO;
5176759-81.2021.8.13.0024;Belo Horizonte;MG;Imóvel Misto (comercial e residencial);250,00 m²;Rua Olinto Magalhães, nº 170, Bairro Padre Eustáquio, em Belo Horizonte MG;R$ 564.666,00;50%;21/04/2026;28/05/2026;R$ 282.333,00;R$ 8.469,99;R$ 14.116,65;R$ 14.116,65;R$ 14.116,65;R$ 333.152,94;23151306,00%;45;VERMELHO;
5176759-81.2021.8.13.0024;Belo Horizonte;MG;Imóvel Misto (Residencial e Comercial);250,00 m²;Rua Olinto Magalhães, nº 170, Bairro Padre Eustáquio, em Belo Horizonte MG;R$ 564.666,00;50%;17/04/2026;28/05/2026;R$ 282.333,00;R$ 8.469,99;R$ 14.116,65;R$ 14.116,65;R$ 14.116,65;R$ 333.152,94;23151306,00%;50;VERMELHO;
0267800-02.1999.5.02.0039;São Paulo;SP;Prédio e Terreno;125,00 m²;Rua Carivaldina Barbosa Lima, nº 201, Jardim Esther Yolanda, Butantã, São Paulo/SP;R$ 555.000,00;40%;16/07/2026;16/07/2026;R$ 222.000,00;R$ 6.660,00;R$ 11.100,00;R$ 11.100,00;R$ 11.100,00;R$ 261.960,00;29304000,00%;65;AMARELO;
0099000-77.2007.5.02.0088;Santo André;SP;Terreno;100,00 m²;Rua Jovita, 37, Vila Assunção, Santo André/SP;R$ 550.000,00;40%;16/07/2026;16/07/2026;R$ 220.000,00;R$ 6.600,00;R$ 11.000,00;R$ 11.000,00;R$ 11.000,00;R$ 259.600,00;29040000,00%;65;AMARELO;
0002116-60.2012.5.02.0039;Itanhaém;SP;Casa;0,00 m²;Rua Zeferino das Costa, nº 39, Belas Artes, Itanhaém/SP;R$ 550.000,00;40%;16/07/2026;16/07/2026;R$ 220.000,00;R$ 6.600,00;R$ 11.000,00;R$ 11.000,00;R$ 11.000,00;R$ 259.600,00;29040000,00%;75;AMARELO;
0550022-11.2014.8.13.0702;Uberlândia;MG;Casa;185,10 m²;Rua Francisco Antônio de Oliveira, 792, Bairro Santa Mônica, Uberlândia/MG;R$ 550.000,00;50%;17/06/2026;01/07/2026;R$ 275.000,00;R$ 8.250,00;R$ 13.750,00;R$ 13.750,00;R$ 13.750,00;R$ 324.500,00;22550000,00%;60;AMARELO;
1000565-75.2023.5.02.0028;São Paulo;SP;Casa;0,00 m²;Rua Henrique Medem, 105, Parque Edu Chaves, São Paulo/SP;R$ 550.000,00;50%;16/07/2026;16/07/2026;R$ 275.000,00;R$ 8.250,00;R$ 13.750,00;R$ 13.750,00;R$ 13.750,00;R$ 324.500,00;22550000,00%;40;VERMELHO;
0204400-64.1993.5.02.0446;Ribeirão Pires;SP;Terreno;12.550,00 m²;Rua Zenkiti Fukui, 305, Ouro Fino, Ribeirão Pires/SP;R$ 550.000,00;60%;16/07/2026;16/07/2026;R$ 330.000,00;R$ 9.900,00;R$ 16.500,00;R$ 16.500,00;R$ 16.500,00;R$ 389.400,00;16060000,00%;25;VERMELHO;
5000352-70.2021.8.13.0074;Carmo do Paranaíba;MG;Imóveis diversos;0,00 m²;N/D;R$ 540.000,00;50%;27/04/2026;23/11/2026;R$ 270.000,00;R$ 8.100,00;R$ 13.500,00;R$ 13.500,00;R$ 13.500,00;R$ 318.600,00;22140000,00%;40;VERMELHO;
0021904-43.2019.8.16.0017;Maringá;PR;Casa;409,86 m²;Rua Américo Brasiliense, 508, Zona 07, Maringá;R$ 500.000,00;60%;08/05/2026;05/06/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;14600000,00%;10;VERMELHO;
0000409-29.2019.5.23.0071;Jaciara;MT;Equipamentos Industriais e Sucata;0,00 m²;km 262 da Rodovia BR-364, entre os municípios de São Pedro da Cipa e Juscimeira/MT;R$ 500.000,00;60%;18/05/2026;11/06/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;14600000,00%;60;AMARELO;
0703594-07.2017.8.07.0004;Brasília;DF;Terreno;275,00 m²;Quadra 5, Lote 101, Setor Leste (Gama), Brasília, DF, 72450-050;R$ 500.000,00;70%;04/05/2026;07/05/2026;R$ 350.000,00;R$ 10.500,00;R$ 17.500,00;R$ 17.500,00;R$ 17.500,00;R$ 413.000,00;8700000,00%;55;VERMELHO;
0010398-56.2024.5.03.0066;Lajinha;MG;Imóvel comercial com terreno;0,00 m²;Não informado;R$ 500.000,00;50%;24/06/2026;24/06/2026;R$ 250.000,00;R$ 7.500,00;R$ 12.500,00;R$ 12.500,00;R$ 12.500,00;R$ 295.000,00;20500000,00%;55;VERMELHO;
0100544-33.2018.5.01.0027;Rio de Janeiro;RJ;Prédio;257,64 m²;Rua Vinte e Quatro de Maio nº 809, na freguesia do Engenho Novo;R$ 490.000,00;40%;25/05/2026;26/05/2026;R$ 196.000,00;R$ 5.880,00;R$ 9.800,00;R$ 9.800,00;R$ 9.800,00;R$ 231.280,00;25872000,00%;93;VERDE;
0000850-05.2019.5.23.0008;Nossa Senhora do Livramento;MT;Máquina Pesada;0,00 m²;Sede da reclamada (EBC – Empresa Brasileira de Construções LTDA), Rodovia MT 060, KM 32, lado direito da Rodovia, no município de Nossa Senhora do Livramento/MT;R$ 480.000,00;80%;28/05/2026;11/06/2026;R$ 384.000,00;R$ 11.520,00;R$ 19.200,00;R$ 19.200,00;R$ 19.200,00;R$ 453.120,00;2688000,00%;45;VERMELHO;
0023807-94.2011.8.07.0001;Brasília;DF;Apartamento;95,13 m²;Apartamento nº 310, do Bloco D, da QE-02, do SRIA/GUARÁ, desta Capital de Guará, Brasília/DF;R$ 480.000,00;50%;06/05/2026;08/05/2026;R$ 240.000,00;R$ 7.200,00;R$ 12.000,00;R$ 12.000,00;R$ 12.000,00;R$ 283.200,00;19680000,00%;40;VERMELHO;
0007054-98.2015.8.11.0037;Primavera do Leste;MT;Terreno com casa;48,00 m²;Rua Poxoréo, nº 07, Bairro Centro, Primavera do Leste/MT;R$ 475.714,30;50%;15/05/2026;22/05/2026;R$ 237.857,15;R$ 7.135,71;R$ 11.892,86;R$ 11.892,86;R$ 11.892,86;R$ 280.671,44;19504286,30%;50;VERMELHO;
0100397-57.2017.5.01.0054;Mendes;RJ;Lote de Terreno;720,00 m²;"LOTE DE TERRENO nº 10, quadra 2-A, Bairro Independência, Rua Edith Braga; LOTE DE TERRENO nº 12, quadra 2-A, Bairro Independência, Rua Edith Braga";R$ 460.000,00;40%;25/05/2026;26/05/2026;R$ 184.000,00;R$ 5.520,00;R$ 9.200,00;R$ 9.200,00;R$ 9.200,00;R$ 217.120,00;24288000,00%;75;AMARELO;
1009374-55.2023.8.26.0248;Indaiatuba;SP;Imóvel;0,00 m²;N/D;R$ 457.558,05;60%;01/06/2026;25/06/2026;R$ 274.534,83;R$ 8.236,04;R$ 13.726,74;R$ 13.726,74;R$ 13.726,74;R$ 323.951,10;13360695,06%;35;VERMELHO;
1001789-90.2019.5.02.0609;São Paulo;SP;Casa;83,34 m²;Avenida Doutor Francisco Munhoz Filho, 2304, Cidade Líder;R$ 450.000,00;40%;04/08/2026;04/08/2026;R$ 180.000,00;R$ 5.400,00;R$ 9.000,00;R$ 9.000,00;R$ 9.000,00;R$ 212.400,00;23760000,00%;95;VERDE;
0101368-97.2016.5.01.0241;Niterói;RJ;Apartamento;0,00 m²;Rua Barão do Amazonas, 360;R$ 450.000,00;60%;16/06/2026;23/06/2026;R$ 270.000,00;R$ 8.100,00;R$ 13.500,00;R$ 13.500,00;R$ 13.500,00;R$ 318.600,00;13140000,00%;10;VERMELHO;
0006400-45.2008.5.02.0074;Igaratá;SP;Gleba de Terras;40.535,00 m²;Estrada Municipal Aníbal Maciel (150 metros após a saída da Rodovia D. Pedro I, sentido Campinas-Jacarei), Fazenda Pedra Bonita, Gleba II D, Funil, Igaratá/SP;R$ 450.000,00;40%;16/07/2026;16/07/2026;R$ 180.000,00;R$ 5.400,00;R$ 9.000,00;R$ 9.000,00;R$ 9.000,00;R$ 212.400,00;23760000,00%;45;VERMELHO;
0703730-31.2022.8.07.0003;Brazlândia;DF;Ponto Comercial;200,00 m²;Quadra 02, Lote 06, Setor Norte, Brazlândia/DF, CEP 72.710-020;R$ 448.700,00;50%;05/05/2026;08/05/2026;R$ 224.350,00;R$ 6.730,50;R$ 11.217,50;R$ 11.217,50;R$ 11.217,50;R$ 264.733,00;18396700,00%;30;VERMELHO;
1000816-12.2018.5.02.0241;Cotia;SP;Terreno;1.467,00 m²;Rua São Judas Tadeu, 204 - Vila Santo Antonio;R$ 444.333,33;40%;16/07/2026;16/07/2026;R$ 177.733,33;R$ 5.332,00;R$ 8.886,67;R$ 8.886,67;R$ 8.886,67;R$ 209.725,33;23460799,82%;25;VERMELHO;
5775197-76.2007.8.13.0024;Belo Horizonte;MG;Apartamento;120,00 m²;Rua Prof. Aníbal de Mattos, nº 450, Santo Antônio, Belo Horizonte/MG;R$ 432.000,00;50%;14/04/2026;28/05/2026;R$ 216.000,00;R$ 6.480,00;R$ 10.800,00;R$ 10.800,00;R$ 10.800,00;R$ 254.880,00;17712000,00%;85;VERDE;
0710409-29.2017.8.07.0001;Brasília;DF;Sala;33,00 m²;Sala nº 102, situada no Térreo (1º Pavimento), do Bloco Z (Edifício Genesis) no Lote nº 42, da Quadra CA-02, do Centro de Atividades do Setor de Habitações Individuais Norte - SHI/NORTE, Lago Norte, Brasília/DF;R$ 420.000,00;50%;25/05/2026;28/05/2026;R$ 210.000,00;R$ 6.300,00;R$ 10.500,00;R$ 10.500,00;R$ 10.500,00;R$ 247.800,00;17220000,00%;75;AMARELO;
0094400-47.2003.5.02.0316;Mogi das Cruzes;SP;Terreno;600,00 m²;Rua Fênix, s/nº, Quadra 06, Lote 26, Colinas do Paratehy, Residencial Monterey Ville, Rodovia Pedro Eroles, km 38,5, Taboão;R$ 420.000,00;40%;04/08/2026;04/08/2026;R$ 168.000,00;R$ 5.040,00;R$ 8.400,00;R$ 8.400,00;R$ 8.400,00;R$ 198.240,00;22176000,00%;40;VERMELHO;
0011517-66.2016.5.09.0001;Curitiba;PR;Loja;40,77 m²;Rua Delegado Leopoldo Belczak, 324, Loja 01, Capão da Imbuia, Curitiba/PR;R$ 410.000,00;50%;12/05/2026;25/06/2026;R$ 205.000,00;R$ 6.150,00;R$ 10.250,00;R$ 10.250,00;R$ 10.250,00;R$ 241.900,00;16810000,00%;10;VERMELHO;
0011517-66.2016.5.09.0001;Curitiba;PR;Loja Comercial;40,77 m²;Rua Delegado Leopoldo Belczak, 324, Loja 01, Capão da Imbuia, Curitiba/PR;R$ 410.000,00;50%;12/05/2026;21/05/2026;R$ 205.000,00;R$ 6.150,00;R$ 10.250,00;R$ 10.250,00;R$ 10.250,00;R$ 241.900,00;16810000,00%;55;VERMELHO;
0011517-66.2016.5.09.0001;Curitiba;PR;Loja;40,77 m²;Rua Delegado Leopoldo Belczak, 324, Loja 01, Capão da Imbuia, Curitiba/PR;R$ 410.000,00;50%;12/05/2026;25/06/2026;R$ 205.000,00;R$ 6.150,00;R$ 10.250,00;R$ 10.250,00;R$ 10.250,00;R$ 241.900,00;16810000,00%;45;VERMELHO;
1501600-65.2018.8.26.0514;Itupeva;SP;Terreno;800,00 m²;Rua 1, s/nº, Lote 13, Quadra G, CEP 13296-018;R$ 404.969,47;60%;29/05/2026;26/06/2026;R$ 242.981,68;R$ 7.289,45;R$ 12.149,08;R$ 12.149,08;R$ 12.149,08;R$ 286.718,38;11825108,52%;60;AMARELO;
1013318-21.2019.8.26.0114;Campinas;SP;Casa;158,00 m²;Rua 13 de Maio nº 483;R$ 402.824,61;60%;05/06/2026;30/06/2026;R$ 241.694,77;R$ 7.250,84;R$ 12.084,74;R$ 12.084,74;R$ 12.084,74;R$ 285.199,82;11762478,61%;50;VERMELHO;
0014271-84.2015.8.13.0637;Pouso Alto;MG;Casa;64,12 m²;Rua Juca Purcino, nº 44, Bairro Vargem dos Lopes, Pouso Alto/MG;R$ 400.000,00;50%;20/04/2026;14/05/2026;R$ 200.000,00;R$ 6.000,00;R$ 10.000,00;R$ 10.000,00;R$ 10.000,00;R$ 236.000,00;16400000,00%;10;VERMELHO;
5002914-43.2021.8.13.0271;Frutal;MG;Casa;192,00 m²;Rua Paes Lemes, n° 402, Frutal/MG;R$ 400.000,00;50%;16/04/2026;29/05/2026;R$ 200.000,00;R$ 6.000,00;R$ 10.000,00;R$ 10.000,00;R$ 10.000,00;R$ 236.000,00;16400000,00%;55;VERMELHO;
0000489-80.2022.5.23.0008;Várzea Grande;MT;Casa;126,47 m²;CASA 112, Condomínio DOM PEDRO II, Bairro Marajoara, Várzea Grande;R$ 400.000,00;80%;18/05/2026;11/06/2026;R$ 320.000,00;R$ 9.600,00;R$ 16.000,00;R$ 16.000,00;R$ 16.000,00;R$ 377.600,00;2240000,00%;65;AMARELO;
5000884-21.2020.8.13.0481;Serra do Salitre;MG;Imóvel rural;70.000,00 m²;Fazenda Guariba, Serra do Salitre/MG;R$ 400.000,00;70%;27/04/2026;23/11/2026;R$ 280.000,00;R$ 8.400,00;R$ 14.000,00;R$ 14.000,00;R$ 14.000,00;R$ 330.400,00;6960000,00%;85;VERDE;
0720973-96.2019.8.07.0001;Brasília;DF;Terreno Rural com Benfeitorias;3.608,00 m²;Rodovia DF-005, KM 03, Chácara Bambu Verde, Setor de Mansões do Lago Norte, Brasília - DF, CEP: 71540-155;R$ 400.000,00;70%;06/05/2026;08/05/2026;R$ 280.000,00;R$ 8.400,00;R$ 14.000,00;R$ 14.000,00;R$ 14.000,00;R$ 330.400,00;6960000,00%;35;VERMELHO;
0142563-52.2006.8.13.0395;Alto Jequitibá;MG;Imóvel Rural;162.745,00 m²;Córrego das Pombinhas, Alto Jequitibá/MG;R$ 396.828,20;50%;16/04/2026;22/07/2026;R$ 198.414,10;R$ 5.952,42;R$ 9.920,71;R$ 9.920,71;R$ 9.920,71;R$ 234.128,64;16269956,20%;45;VERMELHO;
5212406-06.2022.8.13.0024;Belo Horizonte;MG;Equipamentos;0,00 m²;Rua Afonso Costa Reis, 65, Belvedere, Belo Horizonte/MG;R$ 390.000,00;50%;17/04/2026;27/05/2026;R$ 195.000,00;R$ 5.850,00;R$ 9.750,00;R$ 9.750,00;R$ 9.750,00;R$ 230.100,00;15990000,00%;85;VERDE;
0004620-47.2017.8.13.0220;Barra do Piraí;RJ;Casa;72,48 m²;Rua Angélica, bairro Nossa Senhora de Santana, Centro, Barra do Piraí/RJ;R$ 390.000,00;50%;01/07/2026;29/07/2026;R$ 195.000,00;R$ 5.850,00;R$ 9.750,00;R$ 9.750,00;R$ 9.750,00;R$ 230.100,00;15990000,00%;85;VERDE;
1000584-10.2017.8.26.0534;Santa Branca;SP;Equipamentos Industriais;0,00 m²;Estrada Jacareí-Santa Branca, S/N, KM 12, Angola, CEP 12380-970;R$ 385.000,00;50%;27/04/2026;27/05/2026;R$ 192.500,00;R$ 5.775,00;R$ 9.625,00;R$ 9.625,00;R$ 9.625,00;R$ 227.150,00;15785000,00%;45;VERMELHO;
0001409-38.2010.5.02.0015;São Bernardo do Campo;SP;Casa;118,35 m²;Rua Fiorentino Felipe, nº 124, Baeta Neves;R$ 380.000,00;40%;04/08/2026;04/08/2026;R$ 152.000,00;R$ 4.560,00;R$ 7.600,00;R$ 7.600,00;R$ 7.600,00;R$ 179.360,00;20064000,00%;88;VERDE;
0226488-42.2008.8.04.0001;Manaus;AM;Casa;230,12 m²;Rua Santa Isabel, número 204, bairro Centro de Manaus-AM;R$ 380.000,00;50%;06/05/2026;06/05/2026;R$ 190.000,00;R$ 5.700,00;R$ 9.500,00;R$ 9.500,00;R$ 9.500,00;R$ 224.200,00;15580000,00%;40;VERMELHO;
0031991-07.2004.8.26.0114;Campinas;SP;Apartamento;70,81 m²;RUA ANTONIO MARQUES SERRA Nº 545;R$ 380.000,00;60%;13/05/2026;08/06/2026;R$ 228.000,00;R$ 6.840,00;R$ 11.400,00;R$ 11.400,00;R$ 11.400,00;R$ 269.040,00;11096000,00%;15;VERMELHO;
0040152-52.2021.8.26.0100;São Paulo;SP;Apartamento;60,74 m²;Rua dos Caciques, nº 71, na Saúde 21º Subdistrito;R$ 380.000,00;50%;28/05/2026;14/07/2026;R$ 190.000,00;R$ 5.700,00;R$ 9.500,00;R$ 9.500,00;R$ 9.500,00;R$ 224.200,00;15580000,00%;80;VERDE;
0005831-05.2011.8.19.0207;SÃO PEDRO DA ALDEIA;RJ;Apartamento;0,00 m²;RUA CARLITO JOSÉ CORREA, Nº 39 Compl. APT 203, Bairro: Centro, Município: SÃO PEDRO DA ALDEIA;R$ 360.000,00;50%;11/05/2026;18/05/2026;R$ 180.000,00;R$ 5.400,00;R$ 9.000,00;R$ 9.000,00;R$ 9.000,00;R$ 212.400,00;14760000,00%;70;AMARELO;
0001071-53.2017.5.23.0009;Taguatinga Norte;DF;Apartamento;59,55 m²;QNC 01, ÁREA ESPECIAL 19, RESIDENCIAL PARADISO CLUB, BLOCO 02 (B), APARTAMENTO Nº 705 E VAGA DE GARAGEM VINCULADA Nº 86, TAGUATINGA NORTE/DF;R$ 360.000,00;50%;29/04/2026;30/04/2026;R$ 180.000,00;R$ 5.400,00;R$ 9.000,00;R$ 9.000,00;R$ 9.000,00;R$ 212.400,00;14760000,00%;90;VERDE;
0001071-53.2017.5.23.0009;Taguatinga Norte;DF;Apartamento;59,55 m²;QNC 01, ÁREA ES ECIAL 19, RESIDENCIAL PARADISO CLUB, BLOCO 02 (B), APARTAMENTO Nº 705 E VAGA DE GARAGEM VINCULADA Nº 86, TAGUATINGA NORTE/DF;R$ 360.000,00;50%;29/04/2026;30/04/2026;R$ 180.000,00;R$ 5.400,00;R$ 9.000,00;R$ 9.000,00;R$ 9.000,00;R$ 212.400,00;14760000,00%;90;VERDE;
0678166-63.2013.8.13.0079;Contagem;MG;Máquina industrial;0,00 m²;Avenida Hegel Raymundo de Castro Lima, 530, Distrito Industrial Doutor Hélio Pentagn, Contagem/MG;R$ 360.000,00;50%;15/04/2026;27/05/2026;R$ 180.000,00;R$ 5.400,00;R$ 9.000,00;R$ 9.000,00;R$ 9.000,00;R$ 212.400,00;14760000,00%;85;VERDE;
0024463-82.2013.8.13.0011;AIMORÉS;MG;Lote;559,50 m²;Rua Coronel Antônio Baião, distrito da sede, Aimorés;R$ 360.000,00;60%;14/04/2026;28/05/2026;R$ 216.000,00;R$ 6.480,00;R$ 10.800,00;R$ 10.800,00;R$ 10.800,00;R$ 254.880,00;10512000,00%;90;VERDE;
0001317-49.2022.8.16.0096;Roncador;PR;Casa;0,00 m²;Chácara Alto Alegre, s/n, Estrada de Roncador, sentido Alto São João, localizada após 15 Km/s após a ponte de alvenaria, Lado d;R$ 357.444,27;50%;15/06/2026;07/07/2026;R$ 178.722,14;R$ 5.361,66;R$ 8.936,11;R$ 8.936,11;R$ 8.936,11;R$ 210.892,12;14655215,07%;80;VERDE;
0000695-39.2017.8.26.0654;Vargem Grande Paulista;SP;Terreno com construção;154,00 m²;Alameda dos Jacarandás, lote nº 05 da quadra C, do loteamento Recanto do Jatobá, Condomínio Residencial Reserva Jatobá, Vargem Grande Paulista/SP;R$ 353.000,00;50%;10/03/2026;09/04/2026;R$ 176.500,00;R$ 5.295,00;R$ 8.825,00;R$ 8.825,00;R$ 8.825,00;R$ 208.270,00;14473000,00%;60;AMARELO;
0004815-41.2019.8.16.0038;Fazenda Rio Grande;PR;Terreno;507,00 m²;Rua Suécia 35, Nações;R$ 350.161,74;60%;21/05/2026;28/05/2026;R$ 210.097,04;R$ 6.302,91;R$ 10.504,85;R$ 10.504,85;R$ 10.504,85;R$ 247.914,51;10224722,81%;95;VERDE;
0001529-12.2024.5.12.0048;VITOR MEIRELES;SC;Apartamento;73,38 m²;Rua Vereador Eduardo Fossa, nº 240, Palmitos, Ribeirão Pequeno, CEP 89.148 000, VITOR MEIRELES/SC;R$ 350.000,00;70%;19/06/2026;19/06/2026;R$ 245.000,00;R$ 7.350,00;R$ 12.250,00;R$ 12.250,00;R$ 12.250,00;R$ 289.100,00;6090000,00%;70;AMARELO;
0001529-12.2024.5.12.0048;VITOR MEIRELES;SC;Apartamento;73,38 m²;Rua Vereador Eduardo Fossa, nº 240, Palmitos, Ribeirão Pequeno, CEP 89.148 000, VITOR MEIRELES/SC;R$ 350.000,00;70%;19/06/2026;19/06/2026;R$ 245.000,00;R$ 7.350,00;R$ 12.250,00;R$ 12.250,00;R$ 12.250,00;R$ 289.100,00;6090000,00%;85;VERDE;
0001529-12.2024.5.12.0048;VITOR MEIRELES;SC;Apartamento;60,38 m²;Rua Vereador Eduardo Fossa, nº 240, Palmitos, Ribeirão Pequeno, CEP 89.148 000, VITOR MEIRELES/SC;R$ 350.000,00;70%;16/04/2026;19/06/2026;R$ 245.000,00;R$ 7.350,00;R$ 12.250,00;R$ 12.250,00;R$ 12.250,00;R$ 289.100,00;6090000,00%;85;VERDE;
0220400-80.2002.5.02.0202;Santo André;SP;Apartamento;56,96 m²;Rua Bernardo Guimarães, 51, apto 91B, Vila Luzita, Santo André/SP;R$ 350.000,00;50%;16/07/2026;16/07/2026;R$ 175.000,00;R$ 5.250,00;R$ 8.750,00;R$ 8.750,00;R$ 8.750,00;R$ 206.500,00;14350000,00%;50;VERMELHO;
1288628-98.2009.8.13.0134;Caratinga;MG;Terreno com Galpão;0,00 m²;Rua 39, Lote 01, Distrito Vale Verde, Caratinga-MG;R$ 350.000,00;50%;11/05/2026;11/05/2026;R$ 175.000,00;R$ 5.250,00;R$ 8.750,00;R$ 8.750,00;R$ 8.750,00;R$ 206.500,00;14350000,00%;60;AMARELO;
