Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0000023-74.2022.5.05.0271;Cansanção;BA;Veículo;Rua Clara Coelho Modesto, ao lado do Supermercado do Val, próximo à feira livre do Município de Cansanção, Centro, Cansanção/BA;R$ 1.500.000,00;50%;05/05/2026;15/09/2026;R$ 750.000,00;R$ 22.500,00;R$ 37.500,00;R$ 37.500,00;R$ 37.500,00;R$ 885.000,00;R$ 615.000,00;69,49%;45;VERMELHO
5013369-43.2018.8.13.0701;Uberaba;MG;Bens Móveis;Rua Antônio Damiani, nº 110, Parque das Gameleiras, Uberaba, MG, Cep: 38.037-300;R$ 1.420.000,00;20%;12/03/2026;27/03/2026;R$ 284.000,00;R$ 8.520,00;R$ 14.200,00;R$ 14.200,00;R$ 14.200,00;R$ 335.120,00;R$ 1.084.880,00;323,73%;90;VERDE
5003209-51.2018.8.13.0056;Santa Bárbara do Tugúrio;MG;Veículo;Rua Santa Luzia, n° 28, Bairro Sagrado Coração de Jesus, CEP 36215-000, Santa Bárbara do Tugúrio/MG;R$ 1.350.000,00;50%;06/04/2026;04/05/2026;R$ 675.000,00;R$ 20.250,00;R$ 33.750,00;R$ 33.750,00;R$ 33.750,00;R$ 796.500,00;R$ 553.500,00;69,49%;75;AMARELO
0220128-96.2015.8.13.0518;Poços de Caldas;MG;Terreno;Fazenda Rex, área de Terras com 62.400,00m², com confrontações detalhadas na matrícula nº 65.959, Poços de Caldas/MG.;R$ 1.312.971,95;50%;27/04/2026;18/05/2026;R$ 656.485,98;R$ 19.694,58;R$ 32.824,30;R$ 32.824,30;R$ 32.824,30;R$ 774.653,45;R$ 538.318,50;69,49%;35;VERMELHO
0000002-03.2011.5.05.0492;Ilhéus;BA;Casa;Rua São João, 44, Loteamento Village Zeca Damásio, Iguape, Ilhéus/BA;R$ 1.200.000,00;75%;05/05/2026;15/09/2026;R$ 900.000,00;R$ 27.000,00;R$ 45.000,00;R$ 45.000,00;R$ 45.000,00;R$ 1.062.000,00;R$ 138.000,00;12,99%;5;VERMELHO
5000719-70.2021.8.13.0470;PARACATU;MG;Terreno;Rua Itagiba Valentin Landim;R$ 1.200.000,00;50%;15/04/2026;23/04/2026;R$ 600.000,00;R$ 18.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 708.000,00;R$ 492.000,00;69,49%;100;VERDE
1000487-64.2024.5.02.0281;Ferraz de Vasconcelos;SP;Vestuário;Rua Vereador Diomar Novaes, nº 90, Vila Romanópolis;R$ 1.114.876,00;20%;25/06/2026;25/06/2026;R$ 222.975,20;R$ 6.689,26;R$ 11.148,76;R$ 11.148,76;R$ 11.148,76;R$ 263.110,74;R$ 851.765,26;323,73%;90;VERDE
0000366-07.2024.5.05.0431;Valença;BA;Veículo;Rua Oldack Nascimento, nº 80, Bairro da Graça, Valença/Bahia;R$ 1.050.000,00;50%;05/05/2026;15/09/2026;R$ 525.000,00;R$ 15.750,00;R$ 26.250,00;R$ 26.250,00;R$ 26.250,00;R$ 619.500,00;R$ 430.500,00;69,49%;80;VERDE
1001268-90.2015.5.02.0511;Santana de Parnaíba;SP;Casa residencial;Alameda Formosa, 121 - Residencial Tamboré 3 - Santana de Parnaíba/SP;R$ 10.000.000,00;50%;23/06/2026;23/06/2026;R$ 5.000.000,00;R$ 150.000,00;R$ 250.000,00;R$ 250.000,00;R$ 250.000,00;R$ 5.900.000,00;R$ 4.100.000,00;69,49%;60;AMARELO
1202722-60.2024.8.26.0100;São Paulo;SP;Equipamento Industrial;Não informado;R$ 950.000,00;50%;07/04/2026;06/05/2026;R$ 475.000,00;R$ 14.250,00;R$ 23.750,00;R$ 23.750,00;R$ 23.750,00;R$ 560.500,00;R$ 389.500,00;69,49%;90;VERDE
0000718-70.2017.8.13.0193;Abadia dos Dourados;MG;Terreno com benfeitorias;Avenida Dona Baldoina, Abadia dos Dourados - MG;R$ 948.419,91;50%;23/03/2026;24/08/2026;R$ 474.209,96;R$ 14.226,30;R$ 23.710,50;R$ 23.710,50;R$ 23.710,50;R$ 559.567,75;R$ 388.852,16;69,49%;43;VERMELHO
5003939-36.2024.8.13.0514;Pompéu;MG;Veículo;Rua Gilberto Cordeiro Valadares, 581, Centro;R$ 704.000,00;80%;04/05/2026;25/05/2026;R$ 563.200,00;R$ 16.896,00;R$ 28.160,00;R$ 28.160,00;R$ 28.160,00;R$ 664.576,00;R$ 39.424,00;5,93%;75;AMARELO
0001683-31.2025.8.16.0081;Cruzmaltina;PR;Terreno;Rua Projetada 04, Lote 11, Quadra 06, Loteamento Residencial Santa Rita;R$ 700.000,00;60%;15/04/2026;14/05/2026;R$ 420.000,00;R$ 12.600,00;R$ 21.000,00;R$ 21.000,00;R$ 21.000,00;R$ 495.600,00;R$ 204.400,00;41,24%;90;VERDE
0011613-81.2016.5.03.0152;Uberaba;MG;Terreno;Avenida Pedro Salomão, nº. 385, Jardim Santa Inês, Uberaba/MG;R$ 686.400,00;50%;07/05/2026;07/05/2026;R$ 343.200,00;R$ 10.296,00;R$ 17.160,00;R$ 17.160,00;R$ 17.160,00;R$ 404.976,00;R$ 281.424,00;69,49%;85;VERDE
0081500-41.1996.5.20.0004;São Cristóvão;SE;Terreno;LOTE 1, QUADRA 6;R$ 670.000,00;50%;00/00/0000;00/00/0000;R$ 335.000,00;R$ 10.050,00;R$ 16.750,00;R$ 16.750,00;R$ 16.750,00;R$ 395.300,00;R$ 274.700,00;69,49%;100;VERMELHO
5009221-72.2023.8.13.0261;FORMIGA;MG;Veículo Volkswagen Saveiro RB MBVS, adaptado para funerário;N/A;R$ 650.000,00;60%;20/03/2026;20/03/2026;R$ 390.000,00;R$ 11.700,00;R$ 19.500,00;R$ 19.500,00;R$ 19.500,00;R$ 460.200,00;R$ 189.800,00;41,24%;65;AMARELO
0126834-92.2015.8.13.0290;Vespasiano;MG;Veículo;Não informado;R$ 650.000,00;50%;14/04/2026;18/05/2026;R$ 325.000,00;R$ 9.750,00;R$ 16.250,00;R$ 16.250,00;R$ 16.250,00;R$ 383.500,00;R$ 266.500,00;69,49%;65;AMARELO
0002439-31.2008.8.26.0510;Rio Claro;SP;Casa;Rua 15B, 1116, Vila Bela Vista;R$ 619.622,24;60%;02/04/2026;22/04/2026;R$ 371.773,34;R$ 11.153,20;R$ 18.588,67;R$ 18.588,67;R$ 18.588,67;R$ 438.692,55;R$ 180.929,69;41,24%;90;VERDE
0000735-17.2024.8.16.0084;Goioerê;PR;Casa;Lote nº 09, Quadra nº 56, Cidade Jaracatiá, Distrito de Jaracatiá;R$ 600.000,00;50%;12/03/2026;31/03/2026;R$ 300.000,00;R$ 9.000,00;R$ 15.000,00;R$ 15.000,00;R$ 15.000,00;R$ 354.000,00;R$ 246.000,00;69,49%;65;AMARELO
5004723-10.2023.8.13.0106;BOM REPOUSO;MG;Veículo;ZR. CAMPO ALEGRE – ZONA RURAL CAMPO ALEGRE 40.0 M - BOM REPOUSO/MG;R$ 550.000,00;60%;12/03/2026;28/04/2026;R$ 330.000,00;R$ 9.900,00;R$ 16.500,00;R$ 16.500,00;R$ 16.500,00;R$ 389.400,00;R$ 160.600,00;41,24%;70;AMARELO
0048895-44.2015.8.13.0352;JANUÁRIA;MG;Bens Móveis (Animais);Fazenda Morro Preto, Brejinho, São João Da Ponte/MG;R$ 460.000,00;60%;02/04/2026;25/06/2026;R$ 276.000,00;R$ 8.280,00;R$ 13.800,00;R$ 13.800,00;R$ 13.800,00;R$ 325.680,00;R$ 134.320,00;41,24%;70;AMARELO
0010970-09.2020.8.16.0173;Umuarama;PR;Terreno;Avenida Brasil, s/n, Serra dos Dourados;R$ 410.000,00;60%;11/05/2026;25/05/2026;R$ 246.000,00;R$ 7.380,00;R$ 12.300,00;R$ 12.300,00;R$ 12.300,00;R$ 290.280,00;R$ 119.720,00;41,24%;85;VERDE
0015730-90.2021.8.16.0035;São José dos Pinhais;PR;Simulador de Aula de Direção;Rua Zacarias Alves Pereira, 1170, Fundos, Aristocrata;R$ 380.000,00;51%;03/03/2026;10/03/2026;R$ 193.800,00;R$ 5.814,00;R$ 9.690,00;R$ 9.690,00;R$ 9.690,00;R$ 228.684,00;R$ 151.316,00;66,17%;90;VERDE
0000642-39.2018.5.05.0531;Alcobaça;BA;Imóvel rural;"Imóvel rural denominado “NOVA ORDEM”, situado na zona do Calção Fora, município de Alcobaça-BA, medindo 01ha e 09 (um hectare e 9 ares), limitando-se com terras que são ou foram de José Wagner Fialho, José Campos Coelho, Marco Antonio Fialho Lopes e com a via pública, às margens da Estrada Velha Teixeira de Freitas, próximo ao Colégio Estadual Eraldo Tinoco, a aproximadamente 2,5 km do centro de Alcobaça, contendo como principais benfeitorias quatro casas edificadas em paredes de alvenaria e telhado colonial, sendo uma delas com dois pavimentos, painéis de energia solar, cercamento com telas e eucalipto tratado. Código Plus de localização no Google Earth: FQRW+67M Alcobaça. Estrada Velha de Teixeira de Freitas;";R$ 350.000,00;50%;05/05/2026;15/09/2026;R$ 175.000,00;R$ 5.250,00;R$ 8.750,00;R$ 8.750,00;R$ 8.750,00;R$ 206.500,00;R$ 143.500,00;69,49%;40;VERMELHO
0195100-15.2007.5.02.0373;Mogi das Cruzes;SP;Vaga de garagem;Rua Francisco Martins Feitosa, nº 790, boxe nº 73, Vila Lavinia, Mogi das Cruzes/SP;R$ 340.000,00;50%;25/06/2026;25/06/2026;R$ 170.000,00;R$ 5.100,00;R$ 8.500,00;R$ 8.500,00;R$ 8.500,00;R$ 200.600,00;R$ 139.400,00;69,49%;45;VERMELHO
0101896-31.2016.5.01.0048;Rio de Janeiro;RJ;Bens móveis;Estrada Adhemar Bebiano, 876, Loja C, Rio de Janeiro/RJ;R$ 330.553,01;40%;27/04/2026;29/04/2026;R$ 132.221,20;R$ 3.966,64;R$ 6.611,06;R$ 6.611,06;R$ 6.611,06;R$ 156.021,02;R$ 174.531,99;111,86%;70;AMARELO
1002161-18.2014.5.02.0511;Bertioga;SP;Casa;Avenida Anchieta nº 9.107, Condomínio Hanga Roa II, Rua Passeio dos Linguados, Casa nº 173, Bertioga/SP;R$ 300.000,00;50%;23/06/2026;23/06/2026;R$ 150.000,00;R$ 4.500,00;R$ 7.500,00;R$ 7.500,00;R$ 7.500,00;R$ 177.000,00;R$ 123.000,00;69,49%;60;AMARELO
0243544-91.2011.8.13.0079;CONTAGEM;MG;Apartamento;Apartamento n° 402, do Bloco A, do Condomínio Mangueiras, localizado na Rua Santa Maria, n° 180, Santa Maria, Contagem/MG;R$ 259.409,32;70%;13/03/2026;13/05/2026;R$ 181.586,52;R$ 5.447,60;R$ 9.079,33;R$ 9.079,33;R$ 9.079,33;R$ 214.272,10;R$ 45.137,22;21,07%;33;VERMELHO
1002417-85.2017.5.02.0468;São Bernardo do Campo;SP;Terreno com sobrado;Rua Dr. Cincinato Braga, 738/740, Vila Planalto, São Bernardo do Campo/SP;R$ 250.000,00;50%;25/06/2026;25/06/2026;R$ 125.000,00;R$ 3.750,00;R$ 6.250,00;R$ 6.250,00;R$ 6.250,00;R$ 147.500,00;R$ 102.500,00;69,49%;65;AMARELO
5001226-05.2019.8.13.0372;LAGOA DA PRATA;MG;Veículo;Avenida Fernão Dias, 100, Bairro Santa Helena;R$ 250.000,00;60%;05/05/2026;05/05/2026;R$ 150.000,00;R$ 4.500,00;R$ 7.500,00;R$ 7.500,00;R$ 7.500,00;R$ 177.000,00;R$ 73.000,00;41,24%;65;AMARELO
0000072-81.2018.8.16.0083;Cruzeiro do Oeste;PR;Terreno com Benfeitoria;Rua União da Vitória e Rua Leopoldo José de Souza, Bairro Jardim Alto da Glória;R$ 246.081,06;50%;30/03/2026;09/04/2026;R$ 123.040,53;R$ 3.691,22;R$ 6.152,03;R$ 6.152,03;R$ 6.152,03;R$ 145.187,83;R$ 100.893,23;69,49%;55;VERMELHO
0010809-44.2024.5.18.0014;Goiânia;GO;Bens Móveis;Alameda dos Buritis, nº 112, qd. 47, lt. 16, Setor Central;R$ 220.000,00;50%;10/04/2026;24/04/2026;R$ 110.000,00;R$ 3.300,00;R$ 5.500,00;R$ 5.500,00;R$ 5.500,00;R$ 129.800,00;R$ 90.200,00;69,49%;90;VERDE
0001486-24.2025.5.10.0007;BRASILIA;DF;Imóvel;N/D;R$ 202.000,00;50%;;;R$ 101.000,00;R$ 3.030,00;R$ 5.050,00;R$ 5.050,00;R$ 5.050,00;R$ 119.180,00;R$ 82.820,00;69,49%;30;VERMELHO
5018217-34.2022.8.13.0701;Belo Horizonte;MG;Prédio Comercial;Rua Euclides da Cunha, 10, Prado;R$ 2.000.000,00;75%;12/03/2026;03/06/2026;R$ 1.500.000,00;R$ 45.000,00;R$ 75.000,00;R$ 75.000,00;R$ 75.000,00;R$ 1.770.000,00;R$ 230.000,00;12,99%;20;VERMELHO
0004137-52.2011.8.07.0007;Águas Claras;DF;Vaga de garagem;Alameda das Acácias, Lote 8, Quadra 107, Residencial Vinícius, Vaga de Garagem nº 136, Águas Claras, DF;R$ 200.000,00;50%;06/04/2026;09/04/2026;R$ 100.000,00;R$ 3.000,00;R$ 5.000,00;R$ 5.000,00;R$ 5.000,00;R$ 118.000,00;R$ 82.000,00;69,49%;40;VERMELHO
5003431-77.2025.8.13.0604;SANTO ANTÔNIO DO MONTE;MG;Lote de terreno;Rua José Raimundo, prolongamento do bairro Dom Bosco, em Santo Antônio do Monte/MG;R$ 167.838,78;70%;02/04/2026;23/04/2026;R$ 117.487,15;R$ 3.524,61;R$ 5.874,36;R$ 5.874,36;R$ 5.874,36;R$ 138.634,83;R$ 29.203,95;21,07%;70;AMARELO
0100906-14.2024.5.01.0451;Itaboraí;RJ;Bens Móveis;AVENIDA CARLOS LACERDA, 453, AREAL, ITABORAI/RJ, CEP: 24800-770;R$ 155.000,00;50%;18/05/2026;26/05/2026;R$ 77.500,00;R$ 2.325,00;R$ 3.875,00;R$ 3.875,00;R$ 3.875,00;R$ 91.450,00;R$ 63.550,00;69,49%;85;VERDE
5165836-88.2024.8.13.0024;Belo Horizonte;MG;Veículo;Rua José Antônio da Silva, Nº 67, Bairro Vila Jardim Alvorada;R$ 150.000,00;75%;14/05/2026;14/05/2026;R$ 112.500,00;R$ 3.375,00;R$ 5.625,00;R$ 5.625,00;R$ 5.625,00;R$ 132.750,00;R$ 17.250,00;12,99%;65;AMARELO
0101575-77.2018.5.01.0451;Tanguá;RJ;Lotes de Terreno;RUA 29 S/N, LOTES 11, 12, 13, 14 E 15, BANDEIRANTES, TANGUÁ/RJ;R$ 125.000,00;50%;18/05/2026;26/05/2026;R$ 62.500,00;R$ 1.875,00;R$ 3.125,00;R$ 3.125,00;R$ 3.125,00;R$ 73.750,00;R$ 51.250,00;69,49%;90;VERDE
0004382-42.2002.8.16.0035;São José dos Pinhais;PR;Torno Mecânico;Av. Rui Barbosa, 10.235, São José dos Pinhais/PR;R$ 120.000,00;60%;04/05/2026;05/05/2026;R$ 72.000,00;R$ 2.160,00;R$ 3.600,00;R$ 3.600,00;R$ 3.600,00;R$ 84.960,00;R$ 35.040,00;41,24%;95;VERDE
5000774-61.2023.8.13.0240;Ervália;MG;Veículo;AV. DOM SILVÉRIO, Nº 6, CENTRO;R$ 115.120,00;50%;27/04/2026;27/04/2026;R$ 57.560,00;R$ 1.726,80;R$ 2.878,00;R$ 2.878,00;R$ 2.878,00;R$ 67.920,80;R$ 47.199,20;69,49%;80;VERDE
0100073-14.2025.5.01.0078;Rio de Janeiro;RJ;Imóvel;Rua de Santana, nº 133, Centro, Rio de Janeiro/RJ;R$ 110.000,00;80%;13/03/2026;05/05/2026;R$ 88.000,00;R$ 2.640,00;R$ 4.400,00;R$ 4.400,00;R$ 4.400,00;R$ 103.840,00;R$ 6.160,00;5,93%;75;AMARELO
0010268-43.2014.8.13.0598;SANTA VITÓRIA;MG;Veículo;Pátio Leo Car - Rua Joaquim Ribeiro de Gouveia, 1575, Centro, Santa Vitória/MG;R$ 105.226,00;50%;01/04/2026;24/06/2026;R$ 52.613,00;R$ 1.578,39;R$ 2.630,65;R$ 2.630,65;R$ 2.630,65;R$ 62.083,34;R$ 43.142,66;69,49%;25;VERMELHO
