Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0000008-89.2025.5.06.0201;VITORIA DE SANTO ANTAO;PE;Bens Móveis (Equipamentos);Valdinete S Queiroz, 09;R$ 44.000,00;50%;13/03/2026;13/07/2026;R$ 22.000,00;R$ 660,00;R$ 1.100,00;R$ 1.100,00;R$ 1.100,00;R$ 25.960,00;R$ 18.040,00;69,49%;75;AMARELO
0000711-15.2011.5.08.0117;Marabá;PA;Terreno;Área de Expansão Urbana - Nova Marabá, Folha 19, Quadra 05, Lote 25, com frente para a BR-222;R$ 43.200,00;50%;31/03/2026;31/03/2026;R$ 21.600,00;R$ 648,00;R$ 1.080,00;R$ 1.080,00;R$ 1.080,00;R$ 25.488,00;R$ 17.712,00;69,49%;90;VERDE
0000536-84.2020.8.16.0035;São José dos Pinhais;PR;Terreno;Campestre das Mortes, quarteirão da Faxina, distrito de Campo Largo da Roseira, São José dos Pinhais/PR;R$ 40.692,00;70%;13/04/2026;20/04/2026;R$ 28.484,40;R$ 854,53;R$ 1.424,22;R$ 1.424,22;R$ 1.424,22;R$ 33.611,59;R$ 7.080,41;21,07%;70;AMARELO
0325318-67.2000.8.06.0001;Fortaleza;CE;Imóvel;Rua Professor Costa Mendes, nº 2050-B, Bairro Rodolfo Teófilo;R$ 40.000,00;50%;10/04/2026;10/04/2026;R$ 20.000,00;R$ 600,00;R$ 1.000,00;R$ 1.000,00;R$ 1.000,00;R$ 23.600,00;R$ 16.400,00;69,49%;80;VERDE
0162484-97.2004.8.13.0352;Januária;MG;Casa;Rua Monsenhor José Camilo, nº 294, Centro, CEP 39.480.000, Januária/MG;R$ 39.595,00;60%;12/03/2026;30/04/2026;R$ 23.757,00;R$ 712,71;R$ 1.187,85;R$ 1.187,85;R$ 1.187,85;R$ 28.033,26;R$ 11.561,74;41,24%;55;VERMELHO
0703566-97.2021.8.07.0004;Gama;DF;Casa;Condomínio Philadélfia, na Avenida Buriti, Setor Habitacional Ponte Terra, Chácara 2, Lote 22, Ponte Alta Norte, Gama/DF, CEP nº 72426-095;R$ 32.500,00;70%;07/04/2026;10/04/2026;R$ 22.750,00;R$ 682,50;R$ 1.137,50;R$ 1.137,50;R$ 1.137,50;R$ 26.845,00;R$ 5.655,00;21,07%;10;VERMELHO
0703653-27.2019.8.07.0003;Ceilândia;DF;Apartamento;QNN 11, Via N 11/A, Lotes 02 e 04, Torre 02, Apartamento 501 - Ceilândia/DF;R$ 30.000,00;50%;28/04/2026;30/04/2026;R$ 15.000,00;R$ 450,00;R$ 750,00;R$ 750,00;R$ 750,00;R$ 17.700,00;R$ 12.300,00;69,49%;25;VERMELHO
0709742-44.2025.8.07.0007;Brasília;DF;Apartamento;CNB 08, lote 12, apartamento 1004, Taguatinga Norte, Brasília - DF, CEP: 72115-085;R$ 28.000,00;50%;06/04/2026;09/04/2026;R$ 14.000,00;R$ 420,00;R$ 700,00;R$ 700,00;R$ 700,00;R$ 16.520,00;R$ 11.480,00;69,49%;40;VERMELHO
0012073-51.2020.8.16.0173;PARANAVAÍ;PR;VEÍCULO;Avenida Presidente Tancredo Neves, 1462 apto 1 - Vila São Vicente – PARANAVAÍ/PR;R$ 28.000,00;50%;09/04/2026;14/04/2026;R$ 14.000,00;R$ 420,00;R$ 700,00;R$ 700,00;R$ 700,00;R$ 16.520,00;R$ 11.480,00;69,49%;50;VERMELHO
0003348-38.2016.8.16.0036;SÃO JOSÉ DOS PINHAIS;PR;Equipamentos de Informática;Rua Coronel Luiz Victorino Ordine, 1730 - São Pedro - SÃO JOSÉ DOS PINHAIS/PR - CEP: 83.005-040;R$ 26.500,00;55%;01/04/2026;02/04/2026;R$ 14.575,00;R$ 437,25;R$ 728,75;R$ 728,75;R$ 728,75;R$ 17.198,50;R$ 9.301,50;54,08%;25;VERMELHO
